Pipeline_File,Reference_File,Status,Quarter,Excel_Column,Column_Code,Section,Category,Metric,Column_Description,Pipeline_Value,Reference_Value,Difference,Source_File,Source_Value,Pipeline_Correct,Reference_Correct,Verification_Note
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,91,SWEPENFND.EQUITYFUND.TOTAL.NETASSET.Q,Equity funds,TOTAL,Net assets,Equity funds: TOTAL: Net assets,,5428693.47,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,92,SWEPENFND.EQUITYFUND.SWEHOUSEHOLD.NETASSETPERC.Q,Equity funds,Swedish households,Net assets %,"Equity funds: Swedish households, direct inv.: Net assets %",,6.96213098213482,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,93,SWEPENFND.EQUITYFUND.ISK.NETASSETPERC.Q,Equity funds,ISK,Net assets %,Equity funds: ISK (Investment Savings Account): Net assets %,,6.73529573958428,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,94,SWEPENFND.EQUITYFUND.IPS.NETASSETPERC.Q,Equity funds,IPS,Net assets %,Equity funds: IPS (Individual Pension Saving): Net assets %,,1.92439581599733,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,95,SWEPENFND.EQUITYFUND.UNITLINK.NETASSETPERC.Q,Equity funds,Unit linked,Net assets %,Equity funds: Unit linked: Net assets %,,21.6702124830047,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,96,SWEPENFND.EQUITYFUND.PREMPENSSAVING.NETASSETPERC.Q,Equity funds,Premium Pension,Net assets %,Equity funds: Premium Pension Savings: Net assets %,,36.7776033226647,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,97,SWEPENFND.EQUITYFUND.NOMIEEACC.NETASSETPERC.Q,Equity funds,Nominee Accounts,Net assets %,Equity funds: Nominee Accounts: Net assets %,,12.3964595481203,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,98,SWEPENFND.EQUITYFUND.NONPROFINST.NETASSETPERC.Q,Equity funds,Non profit inst.,Net assets %,Equity funds: Non profit institutions serving households: Net assets %,,1.30147889893662,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,99,SWEPENFND.EQUITYFUND.SWECORP.NETASSETPERC.Q,Equity funds,Swedish corporations,Net assets %,Equity funds: Swedish corporations: Net assets %,,10.6315831459167,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,100,SWEPENFND.EQUITYFUND.OTHER.NETASSETPERC.Q,Equity funds,Others,Net assets %,Equity funds: Others: Net assets %,,1.60084006364058,,fund-saving-by-category-2024.xlsx,,,,
